DATE_ID,LOCATION,VISIT_CLASS_ID,UNIQUE_USERS
20230510,m_15158,Pernottante,607
20230510,m_15158,Visitatore,2880
20230510,m_15158,Abitante abituale,3643
20230516,a_15146_24,Pernottante,4668
20230516,a_15146_24,Visitatore,12559
20230516,a_15146_24,Abitante abituale,13288
20230517,m_15151,Pernottante,361
20230517,m_15151,Visitatore,1476
20230517,m_15151,Abitante abituale,3490
20230517,m_15206,Pernottante,1769
20230517,m_15206,Visitatore,12891
20230517,m_15206,Abitante abituale,13522
20230518,m_15077,Pernottante,12458
20230518,m_15077,Visitatore,43748
20230518,m_15077,Abitante abituale,56184
20230519,a_15146_71,Pernottante,3008
20230519,a_15146_71,Abitante abituale,11015
20230519,a_15146_71,Visitatore,14970
20230519,m_15165,Pernottante,254
20230519,m_15165,Abitante abituale,983
20230519,m_15165,Visitatore,1024
20230519,m_15204,Pernottante,1044
20230519,m_15204,Visitatore,4099
20230519,m_15204,Abitante abituale,6870
20230524,a_15146_63,Pernottante,2643
20230524,a_15146_63,Visitatore,11379
20230524,a_15146_63,Abitante abituale,16119
20230524,m_15055,Pernottante,453
20230524,m_15055,Visitatore,1674
20230524,m_15055,Abitante abituale,1808
20230524,m_15059,Pernottante,2152
20230524,m_15059,Visitatore,9735
20230524,m_15059,Abitante abituale,18654
20230526,a_15146_8,Pernottante,10584
20230526,a_15146_8,Abitante abituale,22139
20230526,a_15146_8,Visitatore,37733
20230527,m_15248,Pernottante,1223
20230527,m_15248,Visitatore,3440
20230527,m_15248,Abitante abituale,3641
20230528,a_15146_39,Pernottante,7308
20230528,a_15146_39,Abitante abituale,17122
20230528,a_15146_39,Visitatore,20793
20230528,a_15146_81,Pernottante,2226
20230528,a_15146_81,Visitatore,7703
20230528,a_15146_81,Abitante abituale,11220
20230529,m_15027,Pernottante,3998
20230529,m_15027,Visitatore,15438
20230529,m_15027,Abitante abituale,25557
20230529,m_15247,Pernottante,1258
20230529,m_15247,Abitante abituale,4746
20230529,m_15247,Visitatore,5456
20230530,a_15146_40,Pernottante,5195
20230530,a_15146_40,Abitante abituale,9598
20230530,a_15146_40,Visitatore,32189
20230601,m_15142,Pernottante,2710
20230601,m_15142,Visitatore,9371
20230601,m_15142,Abitante abituale,11813
20230603,a_15146_51,Pernottante,4813
20230603,a_15146_51,Visitatore,10688
20230603,a_15146_51,Abitante abituale,12222
20230604,a_15146_33,Pernottante,1884
20230604,a_15146_33,Visitatore,4760
20230604,a_15146_33,Abitante abituale,7370
20230605,a_15146_9,Pernottante,5528
20230605,a_15146_9,Abitante abituale,15208
20230605,a_15146_9,Visitatore,20859
20230605,m_15248,Pernottante,718
20230605,m_15248,Visitatore,3345
20230605,m_15248,Abitante abituale,3992
20230606,a_15146_10,Pernottante,11051
20230606,a_15146_10,Abitante abituale,24388
20230606,a_15146_10,Visitatore,59317
20230606,m_15165,Pernottante,151
20230606,m_15165,Visitatore,882
20230606,m_15165,Abitante abituale,925
20230606,m_15192,Pernottante,7739
20230606,m_15192,Visitatore,27131
20230606,m_15192,Abitante abituale,28831
20230607,a_15146_01,Pernottante,178
20230607,a_15146_01,Abitante abituale,320
20230607,a_15146_01,Visitatore,808
20230608,m_15195,Pernottante,7259
20230608,m_15195,Visitatore,23422
20230608,m_15195,Abitante abituale,28862
20230608,m_15211,Pernottante,2831
20230608,m_15211,Visitatore,10702
20230608,m_15211,Abitante abituale,11786
20230609,a_15146_68,Pernottante,5915
20230609,a_15146_68,Abitante abituale,16211
20230609,a_15146_68,Visitatore,22533
20230609,m_15151,Pernottante,808
20230609,m_15151,Visitatore,1694
20230609,m_15151,Abitante abituale,3547
20230611,a_15146_46,Pernottante,4233
20230611,a_15146_46,Abitante abituale,12119
20230611,a_15146_46,Visitatore,13001
20230611,a_15146_54,Pernottante,3823
20230611,a_15146_54,Visitatore,9609
20230611,a_15146_54,Abitante abituale,12898
20230611,m_15139,Pernottante,1353
20230611,m_15139,Visitatore,3989
20230611,m_15139,Abitante abituale,5333
20230616,m_15087,Pernottante,2621
20230616,m_15087,Visitatore,9587
20230616,m_15087,Abitante abituale,10671
20230616,m_15165,Pernottante,360
20230616,m_15165,Abitante abituale,914
20230616,m_15165,Visitatore,1292
20230617,a_15146_56,Pernottante,3765
20230617,a_15146_56,Visitatore,11686
20230617,a_15146_56,Abitante abituale,13344
20230617,m_15016,Pernottante,1011
20230617,m_15016,Abitante abituale,2047
20230617,m_15016,Visitatore,7402
20230618,a_15146_17,Pernottante,4789
20230618,a_15146_17,Visitatore,12279
20230618,a_15146_17,Abitante abituale,13522
20230618,a_15146_2,Abitante abituale,19512
20230618,a_15146_2,Pernottante,23797
20230618,a_15146_2,Visitatore,54903
20230618,a_15146_74,Pernottante,2294
20230618,a_15146_74,Visitatore,7708
20230618,a_15146_74,Abitante abituale,10102
20230618,m_15060,Pernottante,1227
20230618,m_15060,Visitatore,3977
20230618,m_15060,Abitante abituale,8063
20230619,a_15146_54,Pernottante,3169
20230619,a_15146_54,Visitatore,10360
20230619,a_15146_54,Abitante abituale,13084
20230619,m_15051,Pernottante,1742
20230619,m_15051,Abitante abituale,10368
